collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),FARMAKAS,,,,,1,10,20.1,,21.3,18.3,1.8,1.6,2.0,0.0,157.0,,,,41.0,0.0,,,0.925999,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),FRENAROS,,,,,1,11,24.5,22.5,26.6,24.5,5.4,1.8,,0.0,263.0,,,,54.0,0.0,997.8,,2.777998,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),KALAVASOS,,,,,1,5,22.3,,26.0,22.2,,,,,,,,,47.0,0.0,,,,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),KALOPANAYIOTIS,,,,,1,9,20.0,,21.5,18.5,6.2,1.2,,0.0,169.0,,,,46.0,0.0,,,3.189553,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),KAMPOS,,,,,1,11,25.7,21.8,26.0,23.5,2.0,0.4,681.0,0.0,295.0,,,,31.0,0.0,,,1.028888,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),KANNAVIOU,,,,,1,6,21.5,,24.3,20.6,,4.7,,,,,,,40.0,0.0,,,,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),KATHIKAS,,,,,1,6,25.5,,25.5,21.1,,,,,,,,,29.0,0.0,,,,,"{""Accumulated Rainfall (24 hours)"": {""unit"": ""mm"", ""value"": 0.0}}"
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),KEPNIC,,,,,1,1,,,,,,,,,,,,,,0.0,,,,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),KILANI,,,,,1,7,20.1,,23.5,19.3,,1.0,,2.0,,,,,29.0,0.0,,,,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),KORNOS,,,,,1,3,24.9,,,,,,,,,,,,31.0,0.0,,,,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),KOURIS,,,,,1,8,25.5,,29.2,25.2,9.3,3.2,,,18.0,,,,30.0,0.0,,,4.784329,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),KPYRGOS,,,,,1,8,23.4,,26.4,22.7,5.2,1.8,,,164.0,,,,40.0,0.0,,,2.675109,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),KYPEROUNTA,,,,,1,6,21.8,,22.4,19.4,,5.1,,0.0,,,,,31.0,,,,,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),LCLK,,,,,1,9,23.8,,27.4,23.2,,0.5,,,,,,,58.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1007.8}, ""Wind Direction (10m) at Runway 22"": {""unit"": ""Degrees"", ""value"": 249.0}, ""Wind Speed (10m) at Runway 22"": {""unit"": ""Knots"", ""value"": 4.0}}"
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),LCPH,,,,,1,9,23.4,,27.3,22.8,,0.5,,,,,,,57.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1008.3}, ""Wind Direction (10m) at Runway 29"": {""unit"": ""Degrees"", ""value"": 357.0}, ""Wind Speed (10m) at Runway 29"": {""unit"": ""Knots"", ""value"": 3.4}}"
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),LEFKARA,,,,,1,6,18.9,,24.9,18.9,,0.2,,,,,,,52.0,0.0,,,,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),LEFKOSIA,,,,,1,7,22.3,,26.4,22.2,,0.6,,,,,,,48.0,0.0,,,,,"{""Accumulated Rainfall (24 hours)"": {""unit"": ""mm"", ""value"": 0.0}}"
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),LIMASSOL,,,,,1,10,21.3,,25.7,21.2,,0.4,,0.0,,,,,76.0,0.0,1007.0,,,,"{""Wind Direction (10m) at Port Gate"": {""unit"": ""Degrees"", ""value"": 17.0}, ""Wind Speed (10m) at Port Gate"": {""unit"": ""Knots"", ""value"": 1.6}}"
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),LINOU,,,,,1,9,24.7,,25.1,23.5,4.5,1.7,,,181.0,,,,33.0,0.0,963.1,,2.314998,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),LYSOS,,,,,1,7,22.6,,22.7,18.9,5.3,,,,359.0,,,,32.0,0.0,,,2.726553,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),MALLIA,,,,,1,10,20.5,16.4,22.7,19.8,1.3,0.6,,11.0,98.0,,,,39.0,0.0,,,0.668777,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),MAMMARI,,,,,1,10,23.6,,26.8,23.2,,3.1,,68.0,,,,,37.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1009.6}, ""Wind Direction (10m) at Runway 12"": {""unit"": ""Degrees"", ""value"": 242.0}, ""Wind Speed (10m) at Runway 12"": {""unit"": ""Knots"", ""value"": 7.7}}"
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),MATHIATIS,,,,,1,10,21.0,,24.1,20.8,2.3,0.5,4.0,0.0,286.0,,,,39.0,0.0,,,1.183221,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),PANAGIA_BRIDGE,,,,,1,6,16.6,17.3,23.7,16.6,,,,,,,,,56.0,0.0,,,,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),PAPHOS,,,,,1,8,23.0,,25.5,23.0,1.3,0.7,,,355.0,,,,60.0,0.0,,,0.668777,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),PAREKLISIA,,,,,1,7,21.5,,25.3,21.5,2.1,,,,33.0,,,,52.0,0.0,,,1.080332,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),PENTAKOMO,,,,,1,8,23.9,,25.9,23.2,6.3,2.1,,,303.0,,,,59.0,0.0,,,3.240997,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),PLATANIA,,,,,1,6,21.7,,22.7,17.3,,0.4,,,,,,,26.0,0.0,,,,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),POLIS,,,,,1,11,23.0,,26.3,22.8,6.6,1.4,4.0,,153.0,,,,49.0,0.0,1004.9,,3.39533,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1007.6}}"
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),POLYSTYPOS,,,,,1,8,22.9,,23.8,20.6,4.5,1.8,,,2.0,,,,27.0,0.0,,,2.314998,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),PRODROMOS,,,,,1,9,21.5,,21.6,17.1,16.3,4.1,,0.0,70.0,,,,24.0,0.0,,,8.385437,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),PYRGOS,,,,,1,5,25.3,,,,6.7,,,,221.6,,,,28.0,0.0,,,3.446775,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),SAITTAS,,,,,1,5,19.6,,23.3,19.2,,,,,,,,,39.0,0.0,,,,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),TAMASOS,,,,,1,9,25.9,25.0,26.4,24.6,3.3,0.9,,,281.0,,,,28.0,0.0,,,1.697665,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),TEPAK,,,,,1,9,21.8,,26.0,21.6,1.5,0.0,,,342.0,,,,58.0,0.0,,,0.771666,,"{""Accumulated Rainfall (24 hours)"": {""unit"": ""mm"", ""value"": 0.0}}"
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),TRIPILOS,,,,,1,7,20.2,,21.8,19.8,1.7,,,,234.0,,,,33.0,0.0,,,0.874555,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),TROODOS,,,,,1,9,18.9,,19.5,18.3,12.9,3.6,,,350.0,,,,25.0,0.0,827.4,,6.636328,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),VISITOR,,,,,1,7,25.4,,28.4,25.1,3.3,,,,263.0,,,,40.0,0.0,,,1.697665,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),XYLIATOS,,,,,1,8,24.7,,25.3,21.4,2.9,,,6.0,205.0,,,,32.0,0.0,,,1.491888,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),XYLOPHAGOU,,,,,1,9,24.5,24.1,26.3,24.3,5.3,1.7,,,253.0,,,,45.0,0.0,,,2.726553,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),ZYGI,,,,,1,9,19.7,19.0,24.3,18.5,1.7,0.4,,,322.0,,,,56.0,0.0,,,0.874555,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),ACHNA,,,,,1,8,25.3,,26.3,20.9,1.1,0.5,,,196.0,,,,36.0,0.0,,,0.565888,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),AGROS,,,,,1,10,24.7,,25.0,20.7,8.7,3.9,509.0,86.0,347.0,,,,23.0,0.0,,,4.475663,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),AKAMAS,,,,,1,7,28.7,,28.9,21.6,1.8,,,,19.0,,,,25.0,0.0,,,0.925999,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),ALONOUDI,,,,,1,5,18.8,,24.4,16.7,,,,,,,,,48.0,0.0,,,,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),AMARGETI,,,,,1,9,24.6,,27.0,21.1,8.4,2.3,,,320.0,,,,32.0,0.0,958.5,,4.32133,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),ASTROMERITIS,,,,,1,8,26.6,,27.0,22.5,2.3,0.9,,,174.0,,,,26.0,0.0,,,1.183221,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),ATHALASSA,,,,,1,11,26.7,27.5,27.9,24.9,6.4,2.4,,,274.0,,,,30.0,0.0,990.0,,3.292442,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1008.5}}"
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),ATHIENOU,,,,,1,9,27.8,29.0,28.0,23.5,5.6,1.5,,,242.0,,,,26.0,0.0,,,2.880886,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),AVDIMOU,,,,,1,11,18.4,17.4,28.4,16.3,1.5,0.0,270.0,112.0,354.0,,,,63.0,0.0,,,0.771666,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),CAVO_GRECO,,,,,1,9,27.2,,27.3,23.3,7.0,2.2,,,255.0,,,,42.0,0.0,1001.1,,3.601108,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),CHROMIO,,,,,1,9,19.1,,19.1,17.3,4.8,0.6,,,88.0,,,,26.0,0.0,,,2.469331,,"{""Snow Depth"": {""unit"": ""cm"", ""value"": 0.0}}"
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),CYTASAT,,,,,1,10,21.4,,25.0,15.0,0.8,0.5,,,96.0,,,,48.0,0.0,983.1,,0.411555,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1009.7}}"
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),EPTAGONEIA,,,,,1,8,26.1,,26.5,18.3,5.1,1.1,,,353.0,,,,25.0,0.0,,,2.623664,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),FANEROMENI,,,,,1,4,25.4,,,,,,,,,,,,42.0,0.0,,,,,"{""Rain Intensity (10 min.)"": {""unit"": ""mm/min"", ""value"": 0.0}}"
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),FARMAKAS,,,,,1,10,20.9,,21.3,18.3,0.5,0.4,9.0,8.0,62.0,,,,39.0,0.0,,,0.257222,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),FRENAROS,,,,,1,11,27.1,27.7,27.3,23.9,3.3,1.4,,184.0,235.0,,,,39.0,0.0,998.3,,1.697665,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),KALAVASOS,,,,,1,5,22.5,,26.0,20.8,,,,,,,,,41.0,0.0,,,,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),KALOPANAYIOTIS,,,,,1,9,19.9,,21.5,18.5,5.1,1.3,,11.0,157.0,,,,40.0,0.0,,,2.623664,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),KAMPOS,,,,,1,11,27.0,24.3,27.4,23.5,2.8,0.9,516.0,48.0,282.0,,,,26.0,0.0,,,1.440443,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),KANNAVIOU,,,,,1,6,22.8,,24.3,20.6,,4.2,,,,,,,35.0,0.0,,,,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),KATHIKAS,,,,,1,6,26.5,,26.5,21.1,,,,,,,,,30.0,0.0,,,,,"{""Accumulated Rainfall (24 hours)"": {""unit"": ""mm"", ""value"": 0.0}}"
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),KEPNIC,,,,,1,1,,,,,,,,,,,,,,0.0,,,,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),KILANI,,,,,1,7,23.8,,24.2,19.3,,0.8,,194.0,,,,,30.0,0.0,,,,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),KORNOS,,,,,1,3,30.0,,,,,,,,,,,,22.0,0.0,,,,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),KOURIS,,,,,1,8,26.1,,29.2,22.5,7.3,3.0,,,15.0,,,,26.0,0.0,,,3.755441,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),KPYRGOS,,,,,1,8,23.9,,26.4,21.7,4.9,1.5,,,148.0,,,,43.0,0.0,,,2.520776,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),KYPEROUNTA,,,,,1,6,22.2,,22.7,19.4,,3.2,,190.0,,,,,25.0,,,,,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),LCLK,,,,,1,9,27.4,,27.6,20.9,,0.8,,,,,,,45.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1008.1}, ""Wind Direction (10m) at Runway 22"": {""unit"": ""Degrees"", ""value"": 248.0}, ""Wind Speed (10m) at Runway 22"": {""unit"": ""Knots"", ""value"": 2.7}}"
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),LCPH,,,,,1,9,25.5,,27.3,21.7,,1.4,,,,,,,68.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1008.4}, ""Wind Direction (10m) at Runway 29"": {""unit"": ""Degrees"", ""value"": 291.0}, ""Wind Speed (10m) at Runway 29"": {""unit"": ""Knots"", ""value"": 4.7}}"
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),LEFKARA,,,,,1,6,23.3,,24.9,18.6,,0.4,,,,,,,37.0,0.0,,,,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),LEFKOSIA,,,,,1,7,23.9,,26.4,21.3,,0.6,,,,,,,43.0,0.0,,,,,"{""Accumulated Rainfall (24 hours)"": {""unit"": ""mm"", ""value"": 0.0}}"
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),LIMASSOL,,,,,1,10,23.7,,25.7,19.9,,0.0,,161.0,,,,,50.0,0.0,1007.2,,,,"{""Wind Direction (10m) at Port Gate"": {""unit"": ""Degrees"", ""value"": 340.0}, ""Wind Speed (10m) at Port Gate"": {""unit"": ""Knots"", ""value"": 0.0}}"
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),LINOU,,,,,1,9,28.6,,28.9,23.5,3.8,1.2,,,183.0,,,,26.0,0.0,963.1,,1.954887,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),LYSOS,,,,,1,7,27.5,,27.6,18.9,5.2,,,,23.0,,,,28.0,0.0,,,2.675109,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),MALLIA,,,,,1,10,21.4,22.2,22.7,18.8,3.1,1.0,,207.0,53.0,,,,35.0,0.0,,,1.594776,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),MAMMARI,,,,,1,10,25.3,,26.8,21.2,,3.8,,263.0,,,,,33.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1009.7}, ""Wind Direction (10m) at Runway 12"": {""unit"": ""Degrees"", ""value"": 235.0}, ""Wind Speed (10m) at Runway 12"": {""unit"": ""Knots"", ""value"": 8.8}}"
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),MATHIATIS,,,,,1,10,27.8,,28.1,20.1,2.5,0.5,114.0,120.0,306.0,,,,28.0,0.0,,,1.28611,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),PANAGIA_BRIDGE,,,,,1,6,18.6,19.2,23.7,16.4,,,,,,,,,48.0,0.0,,,,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),PAPHOS,,,,,1,8,24.2,,25.5,22.8,3.2,1.8,,,330.0,,,,69.0,0.0,,,1.646221,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),PAREKLISIA,,,,,1,7,24.5,,25.3,20.9,0.0,,,,7.0,,,,42.0,0.0,,,0.0,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),PENTAKOMO,,,,,1,8,26.3,,26.6,22.8,3.8,1.4,,,278.0,,,,54.0,0.0,,,1.954887,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),PLATANIA,,,,,1,6,21.6,,22.7,17.3,,0.2,,,,,,,30.0,0.0,,,,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),POLIS,,,,,1,11,24.7,,26.3,21.7,4.3,1.1,621.0,,150.0,,,,40.0,0.0,1005.3,,2.212109,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1008.0}}"
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),POLYSTYPOS,,,,,1,8,24.7,,25.0,20.6,3.1,1.3,,,353.0,,,,22.0,0.0,,,1.594776,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),PRODROMOS,,,,,1,9,21.6,,22.0,17.1,13.4,3.3,,5.0,71.0,,,,23.0,0.0,,,6.89355,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),PYRGOS,,,,,1,5,27.0,,,,2.3,,,,271.6,,,,26.0,0.0,,,1.183221,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),SAITTAS,,,,,1,5,20.8,,23.3,18.8,,,,,,,,,38.0,0.0,,,,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),TAMASOS,,,,,1,9,28.7,29.0,28.9,22.5,4.0,1.2,,,243.0,,,,23.0,0.0,,,2.057776,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),TEPAK,,,,,1,9,25.3,,26.0,21.2,0.0,0.1,,,343.0,,,,40.0,0.0,,,0.0,,"{""Accumulated Rainfall (24 hours)"": {""unit"": ""mm"", ""value"": 0.0}}"
